Time [s]	Tatm [K]	Patm [Pa]	RH [%]	Re	delPorf [Pa]	mp [kg/s]	Ps [Pa]
5.875336	300.206614	86130.000000	43.000000	39797.816074	2169.737581	0.210914	-34.369244
6.268358	300.196636	86130.000000	43.000000	40106.267191	2171.307144	0.212555	-35.462192
6.659381	300.186658	86130.000000	43.000000	40124.595698	2068.223073	0.212646	-34.482759
7.050403	300.196636	86130.000000	43.000000	39184.426797	2153.452086	0.207657	-34.216818
7.442426	300.180671	86130.000000	43.000000	39962.116531	2156.019656	0.211785	-34.233025
7.835448	300.201625	86130.000000	43.000000	39990.559990	2142.419712	0.211925	-34.664368
8.225470	300.183665	86130.000000	43.000000	39860.777346	2165.827234	0.211251	-34.748700
8.616493	300.194640	86130.000000	43.000000	40078.819426	2128.674446	0.212395	-34.087095
9.008515	300.196636	86130.000000	43.000000	39737.366008	2151.982331	0.210592	-34.249248
9.401537	300.191647	86130.000000	43.000000	39948.866320	2138.509366	0.211714	-34.184387
9.792560	300.188654	86130.000000	43.000000	39828.005947	2123.176365	0.211071	-34.544373
10.184582	300.199629	86130.000000	43.000000	39689.462808	2124.872994	0.210334	-33.788723
10.574605	300.186658	86130.000000	43.000000	39700.841567	2151.374433	0.210402	-34.349788
10.967627	300.201625	86130.000000	43.000000	39946.676348	2144.152597	0.211696	-34.554100
11.358650	300.188654	86130.000000	43.000000	39876.447765	2177.122781	0.211334	-34.687071
11.750672	300.199629	86130.000000	43.000000	40179.101556	2120.372920	0.212929	-34.641665
12.142694	300.188654	86130.000000	43.000000	39660.396329	2112.434291	0.210187	-34.155188
12.534717	300.186658	86130.000000	43.000000	39590.872575	2160.973350	0.209812	-35.241657
12.926739	300.196636	86130.000000	43.000000	40034.417531	2118.385992	0.212161	-34.845992
13.317761	300.191647	86130.000000	43.000000	39643.399571	2129.481919	0.210095	-34.713022
13.708784	300.212601	86130.000000	43.000000	39746.221492	2181.867814	0.210637	-34.596274
14.100806	300.188654	86130.000000	43.000000	40214.027519	2136.794609	0.213130	-34.375739
14.491829	300.170693	86130.000000	43.000000	39813.509313	2123.620943	0.210992	-35.591930
14.883851	300.188654	86130.000000	43.000000	39700.162788	2145.595138	0.210380	-34.297902
15.275874	300.173687	86130.000000	43.000000	39893.529549	2172.922092	0.211416	-34.644913
15.667896	300.170693	86130.000000	43.000000	40146.081277	2134.880277	0.212745	-34.764908
16.057918	300.178676	86130.000000	43.000000	39802.229562	2164.275798	0.210920	-35.030849
16.449941	300.180671	86130.000000	43.000000	40066.661536	2163.005619	0.212327	-35.309766
16.840963	300.155727	86130.000000	43.000000	40054.749697	2172.804155	0.212265	-34.881671
17.233985	300.168698	86130.000000	43.000000	40150.959583	2161.490481	0.212759	-35.215721
17.627008	300.165705	86130.000000	43.000000	40044.832070	2159.558021	0.212205	-34.648160
18.018031	300.149740	86130.000000	43.000000	40027.791447	2124.591737	0.212112	-35.536796
